,r2,rmse,mae,cv_mean,cv_std,model
LinearRegression,0.9095045776571788,1.103408812763723,0.8364021330185887,0.9192626459881247,0.011646916183434412,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['celebrity_age_during_season',
                                                   'is_american',
                                                   'industry_performance',
                                                   'overall_avg_score',
                                                   'mean_fan_vote']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('onehot',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['celebrity_industry',
                                                   'age_group'])])),
                ('regressor', LinearRegression())])"
Ridge,0.9121167429800049,1.0873671650406436,0.8311486477079285,0.9199344278191737,0.011278197458961421,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['celebrity_age_during_season',
                                                   'is_american',
                                                   'industry_performance',
                                                   'overall_avg_score',
                                                   'mean_fan_vote']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('onehot',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['celebrity_industry',
                                                   'age_group'])])),
                ('regressor', Ridge())])"
RandomForest,0.9253212162050944,1.0023554611953962,0.7977647058823529,0.9119719355920474,0.01667420648194989,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['celebrity_age_during_season',
                                                   'is_american',
                                                   'industry_performance',
                                                   'overall_avg_score',
                                                   'mean_fan_vote']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('onehot',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['celebrity_industry',
                                                   'age_group'])])),
                ('regressor', RandomForestRegressor(random_state=42))])"
GradientBoosting,0.9262050221779174,0.9964064861816558,0.7885098123331731,0.9036222941376595,0.022777492993035633,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['celebrity_age_during_season',
                                                   'is_american',
                                                   'industry_performance',
                                                   'overall_avg_score',
                                                   'mean_fan_vote']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('onehot',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['celebrity_industry',
                                                   'age_group'])])),
                ('regressor', GradientBoostingRegressor(random_state=42))])"
